no.,x,ext1,ext2,,,
1,ABIOTROPHIA,DEFECTIVA,,,,
2,ABIOTROPHIA,OTHER,NAMED,,,
3,ABIOTROPHIA,SP,,,,
4,ABSIDIA,OTHER,NAMED,,,
5,ABSIDIA,SP,,,,
6,ACANTHAMOEBA,CASTELLANII,,,,
7,ACANTHAMOEBA,CULBERTSONI,,,,
8,ACANTHAMOEBA,OTHER,NAMED,,,
9,ACANTHAMOEBA,POLYPHAGA,,,,
10,ACANTHAMOEBA,SP,,,,
11,ACHROMOBACTER,OTHER,NAMED,,,
12,ACHROMOBACTER,SP,,,,
13,ACIDOVORAX,TEMPERANS,,,,
14,ACINETOBACTER,CALCOACETICUS,(ANITRATUS),,,
15,ACINETOBACTER,JUNII,,,,
16,ACINETOBACTER,HAEMOLYTICUS,,,,
17,ACINETOBACTER,JOHNSONII,,,,
18,ACINETOBACTER,LWOFFII,,,,
19,ACINETOBACTER,OTHER,NAMED,,,
20,ACINETOBACTER,RADIORESISTENS,,,,
21,ACINETOBACTER,SP,,,,
22,ACINETOBACTER,URSINGII,,,,
23,ACINETOBACTER,BAUMANNII,,,,
24,ACREMONIUM,KILIENSE,,,,
25,ACREMONIUM,OTHER,NAMED,,,
26,ACREMONIUM,SP,,,,
27,ACTINOBACILLUS,EQUULI,,,,
28,ACTINOBACILLUS,LIGNIERESII,,,,
29,ACTINOBACILLUS,OTHER,NAMED,,,
30,ACTINOBACILLUS,SP,,,,
31,ACTINOBACILLUS,UREAE,,,,
32,ACTINOBACULUM,SCHAALII,,,,
33,ACTINOBACULUM,SP,,,,
34,ACTINOMYCES,BOVIS,,,,
35,ACTINOMYCES,ISRAELII,,,,
36,ACTINOMYCES,MEYERI,,,,
37,ACTINOMYCES,NAESLUNDII,,,,
38,ACTINOMYCES,ODONTOLYTICUS,,,,
39,ACTINOMYCES,OTHER,NAMED,,,
40,ACTINOMYCES,SP,,,,
41,ACTINOMYCES,TURICENSIS,,,,
42,ACTINOMYCES,VISCOSUS,,,,
43,ACTINOMYCETES,SP,,,,
44,ADENOVIRUS,,,,,
45,AEROCOCCUS,OTHER,NAMED,,,
46,AEROCOCCUS,SP,,,,
47,AEROCOCCUS,VIRIDANS,,,,
48,AEROMONAS,CAVIAE,,,,
49,AEROMONAS,EUCRENOPHILA,,,,
50,AEROMONAS,HYDROPHILA,,,,
51,AEROMONAS,OTHER,NAMED,,,
52,AEROMONAS,SALMONICIDA,,,,
53,AEROMONAS,SOBRIA,,,,
54,AEROMONAS,SP,,,,
55,AEROMONAS,VERONII,,,,
56,AGGREGATIBACTER,(HAEMOPHILUS),SEGNIS,,,
57,AGGREGATIBACTER,ACTINOMYCETEMCOMITANS,,,,
58,AGGREGATIBACTER,SP,,,,
59,AGROBACTERIUM,OTHER,NAMED,,,
60,AGROBACTERIUM,SP,,,,
61,ALCALIGENES,FAECALIS,,,,
62,ALCALIGENES,OTHER,NAMED,,,
63,ALCALIGENES,PIECHAUDII,,,,
64,ALCALIGENES,SP,,,,
65,ALCALIGENES,XYLOSOXIDANS,XYLOSOXIDANS,,,
66,ALISTIPES,FINEGOLDII,,,,
67,ALLOIOCOCCUS,OTITIS,,,,
68,ALTERNARIA,ALTERNATA,,,,
69,ALTERNARIA,SP,,,,
70,ANAEROBIOSPIRILLUM,OTHER,NAMED,,,
71,ANAEROBIOSPIRILLUM,SP,,,,
72,ANAEROBIOSPIRILLUM,SUCCINICIPRODUCENS,,,,
73,ANAEROCOCCUS,(PEPTOSTREPTOCOCCUS),PREVOTTI,,,
74,ANAEROCOCCUS,HYDROGENALIS,,,,
75,ANAEROCOCCUS,SP,,,,
76,ANAEROCOCCUS,TETRADIUS,,,,
77,ANAEROCOCCUS,VAGINALIS,,,,
78,ANCYLOSTOMA,DUODENALE,,,,
79,ANCYLOSTOMA,INTESTINALE,,,,
80,ARACHNIA,NAMED,,,,
81,ARACHNIA,SP,,,,
82,ARBOVIRUS,UNSPECIFIED,,,,
83,ROSS,RIVER,VIRUS,,,
84,WEST,NILE,VIRUS,,,
85,ARCANOBACTERIUM,HAEMOLYTICUM,,,,
86,ARCOBACTER,BUTZLERI,,,,
87,ARCOBACTER,CRYAEROPHILUS,,,,
88,ARCOBACTER,SP,,,,
89,ARGASIDAE,SP,,,,
90,ARTHROBACTER,SP,,,,
91,ASCARIS,LUMBRICOIDES,,,,
92,ASCARIS,SP,,,,
93,ASPERGILLUS,CANDIDUS,,,,
94,ASPERGILLUS,FLAVUS,,,,
95,ASPERGILLUS,FUMIGATUS,,,,
96,ASPERGILLUS,GLAUCUS,,,,
97,ASPERGILLUS,NIDULANS,,,,
98,ASPERGILLUS,NIGER,,,,
99,ASPERGILLUS,OCHRACEUS,,,,
100,ASPERGILLUS,OTHER,NAMED,,,
101,ASPERGILLUS,SP,,,,
102,ASPERGILLUS,TERREUS,,,,
103,ASPERGILLUS,USTUS,,,,
104,ASPERGILLUS,VERSICOLOR,,,,
105,ASTROVIRUS,,,,,
106,ATOPOBIUM,RIMAE,,,,
107,AURANTIMONAS,ALTAMIRENSIS,,,,
108,AUREOBASIDIUM,PULLULANS,,,,
109,AUREOBASIDIUM,SP,,,,
110,AVIAN,ANTIGEN,,,,
111,AZOSPIRILLUM,BRASILENSE,,,,
112,BABESIA,SP,,,,
113,BACILLUS,ANTHRACIS,,,,
114,BACILLUS,CEREUS,,,,
115,BACILLUS,CIRCULANS,,,,
116,BACILLUS,FIRMUS,,,,
117,BACILLUS,LICHENIFORMIS,,,,
118,BACILLUS,OTHER,NAMED,,,
119,BACILLUS,PUMILUS,,,,
120,BACILLUS,SP,,,,
121,BACILLUS,SPHAERICUS,,,,
122,BACILLUS,SUBTILIS,,,,
