Root.organism.name,text
ABIOTROPHIA,"Abiotrophia is a genus of lactic acid bacteria, a family in the phylum Firmicutes (Bacteria)."
ABSIDIA,"Absidia is a genus of fungi in the family Cunninghamellaceae. The best-known species is the pathogenic Absidia corymbifera, which causes zygomycosis, especially in the form of mycotic spontaneous abortion in cows. It can also cause mucormycosis in humans. It is an allergenic that could cause mucorosis in individuals with low immunity. It usually infects the lungs, nose, brain, eyesight and skin. Absidia spp. are ubiquitous in most environments. They are often associated with warm decaying plant matter, such as in compost heaps."
ACANTHAMOEBA,"Acanthamoeba is a genus of amoebae, one of the most common protozoa in soil, and frequently found in fresh water and other habitats. The cells are small, usually 15 - 35 micrometres in length and oval to triangular in shape when moving. Acanthamoeba is able to form metabolically inactive cysts which are resistant to fluctuations in temperature and pH levels. Cysts are also resistant to attack by the host immune system and facilitate the recurrence of infection. Most species are free-living bacterivores, but some are opportunists that can cause infections in humans and other animals."
ACHROMOBACTER,"Achromobacter is a genus of bacteria, included in the family Alcaligenaceae in the order Burkholderiales. The cells are Gram-negative straight rods and are motile by using one to 20 peritrichous agella. They are strictly aerobic and are found in water (fresh and marine) and soils.[1] They have also been identified as a contaminant in laboratory cell cultures."
ACIDOVORAX,The Acidovorax are a genus of Proteobacteria. All species are Facultative. A. avenae causes bacterial fruit blotch on cucurbit crops.[1]
ACINETOBACTER,"Acinetobacter (a-sin-EE-toe-bak-ter) is a genus of Gram-negative bacteria belonging to the wider class of Gammaproteobacteria. Acinetobacter species are not motile and oxidase-negative, and occur in pairs under magnification.
They are important soil organisms, where they contribute to the mineralization of, for example, aromatic compounds. Acinetobacter species are a key source of infection in debilitated patients in the hospital, in particular the species Acinetobacter baumannii."
ACREMONIUM,"Acremonium is a genus of fungi in the family Hypocreaceae; it used to be known as ""Cephalosporium""."
ACTINOBACILLUS,"Actinobacillus is a genus of Gram-negative, immotile and nonspore-forming, oval to rod-shaped bacteria occurring as parasites or pathogens in mammals, birds, and reptiles.[1] It is a member of the Pasteurellaceae family.[2] The bacteria are facultatively aerobic or anaerobic, capable of fermenting carbohydrates (without production of gas), and of reducing nitrates. The genomic DNA contains between 40 and 47 mol % guanine plus cytosine.
Actinobacillus (Pasteurella) ureae and A. hominis occur in the respiratory tracts of healthy humans and may be involved in the pathogenesis of sinusitis, bronchopneumonia, and meningitis. A. actinomycetemcomitans occurs in the human oral microflora,[3] and together with anaerobic or capnophilic organisms (HACEK group organisms) may cause endocarditis. Actinobacilli are susceptible to most antibiotics of the beta-lactam family, aminoglycosides, tetracyclines, chloramphenicol, and many other antibacterial chemotherapeutics.
An analysis of A. actinomycetemcomitans indicated it was monophyletic with Haemophilus aphrophilus and H. segnis, and it was proposed that they be reclassified as a new genus, Aggregatibacter (from the Latin, ""aggregare"", meaning ""to come together"").[4][5]"
ACTINOBACULUM,Actinobaculum is a genus in the phylum Actinobacteria (Bacteria).[1]
ACTINOMYCES,"Actinomyces (from Greek ""actis"" ray, beam and ""mykes"", fungus) is a genus of the actinobacteria class of bacteria. They are all gram-positive. Actinomyces are facultatively anaerobic (except A. meyeri, a strict anaerobe). All species grow best under anaerobic conditions. Actinomyces species may form endospores, and, while individual bacteria are rod-shaped, Actinomyces colonies form fungus-like branched networks of hyphae.[1] The aspect of these colonies initially led to the incorrect assumption that the organism was a fungus and to the name ""Actinomyces"" or ray fungus.
Actinomyces are known for causing disease in humans, and for the important role they play in soil ecology. They produce a number of enzymes that help degrade organic plant material, lignin, and chitin. As such, their presence is important in the formation of compost. Some species have been found as part of the healthy vaginal microbiota.[2]"
