Organism.name,weekly_seasonality,Monthly_seasonality,Quarterly_seasonality
ACHROMOBACTER OTHER NAMED,FALSE,TRUE,FALSE
ACINETOBACTER BAUMANNII,TRUE,TRUE,TRUE
ACINETOBACTER CALCOACETICUS (ANITRATUS),FALSE,FALSE,FALSE
ACINETOBACTER LWOFFII,TRUE,TRUE,TRUE
ACINETOBACTER OTHER NAMED,FALSE,FALSE,TRUE
ACINETOBACTER SP,TRUE,TRUE,TRUE
ACREMONIUM SP,TRUE,FALSE,FALSE
ACTINOMYCES SP,FALSE,FALSE,FALSE
ADENOVIRUS,TRUE,TRUE,TRUE
AEROCOCCUS VIRIDANS,FALSE,FALSE,FALSE
AEROMONAS CAVIAE,FALSE,TRUE,TRUE
AEROMONAS HYDROPHILA,TRUE,TRUE,TRUE
AEROMONAS SOBRIA,TRUE,FALSE,FALSE
AEROMONAS SP,FALSE,TRUE,TRUE
ASCARIS LUMBRICOIDES,FALSE,FALSE,FALSE
ASPERGILLUS FLAVUS,FALSE,TRUE,TRUE
ASPERGILLUS FUMIGATUS,TRUE,FALSE,FALSE
ASPERGILLUS NIGER,TRUE,TRUE,TRUE
ASPERGILLUS SP,FALSE,TRUE,TRUE
ASPERGILLUS TERREUS,TRUE,FALSE,FALSE
ASTROVIRUS,FALSE,TRUE,TRUE
BACILLUS CEREUS,FALSE,TRUE,TRUE
BACILLUS OTHER NAMED,FALSE,FALSE,FALSE
BACILLUS SP,TRUE,TRUE,TRUE
BACTEROIDES FRAGILIS,FALSE,TRUE,FALSE
BACTEROIDES SP,FALSE,FALSE,TRUE
BACTEROIDES THETAIOTAOMICRON,FALSE,FALSE,FALSE
BLASTOCYSTIS HOMINIS,TRUE,TRUE,TRUE
BORDETELLA PERTUSSIS,TRUE,TRUE,TRUE
BORRELIA BURGDORFERI,TRUE,TRUE,TRUE
BURKHOLDERIA CEPACIA,FALSE,FALSE,FALSE
CALICIVIRUS,TRUE,FALSE,FALSE
CAMPYLOBACTER COLI,TRUE,FALSE,TRUE
CAMPYLOBACTER JEJUNI,TRUE,TRUE,TRUE
CAMPYLOBACTER SP,TRUE,TRUE,TRUE
CANDIDA ALBICANS (STELLATOIDEA),FALSE,FALSE,FALSE
CANDIDA GLABRATA,TRUE,FALSE,TRUE
CANDIDA KRUSEI,FALSE,TRUE,TRUE
CANDIDA OTHER NAMED,FALSE,FALSE,TRUE
CANDIDA PARAPSILOSIS,FALSE,TRUE,TRUE
CANDIDA SP,FALSE,FALSE,FALSE
CANDIDA TROPICALIS,FALSE,FALSE,FALSE
CHLAMYDIA OTHER NAMED,FALSE,FALSE,FALSE
CHLAMYDIA PSITTACI,TRUE,TRUE,TRUE
CHLAMYDIA SP,TRUE,FALSE,FALSE
CHLAMYDIA TRACHOMATIS,FALSE,FALSE,TRUE
CITROBACTER DIVERSUS (C. KOSERI),FALSE,FALSE,FALSE
CITROBACTER FREUNDII,TRUE,TRUE,TRUE
CITROBACTER OTHER NAMED,FALSE,FALSE,FALSE
CITROBACTER SP,TRUE,TRUE,TRUE
CLOSTRIDIUM DIFFICILE,FALSE,FALSE,FALSE
CLOSTRIDIUM PERFRINGENS,FALSE,FALSE,FALSE
CLOSTRIDIUM SEPTICUM,FALSE,FALSE,TRUE
CLOSTRIDIUM SP,FALSE,FALSE,FALSE
COLIFORM,TRUE,FALSE,FALSE
CORONAVIRUS,FALSE,FALSE,FALSE
CORYNEBACTERIUM JEIKEIUM (JK),FALSE,FALSE,FALSE
CORYNEBACTERIUM SP,FALSE,FALSE,FALSE
CORYNEBACTERIUM STRIATUM,FALSE,FALSE,TRUE
COXIELLA BURNETII,FALSE,TRUE,TRUE
COXSACKIE A,FALSE,FALSE,FALSE
COXSACKIE B,TRUE,TRUE,TRUE
CRYPTOCOCCUS NEOFORMANS,FALSE,TRUE,FALSE
CRYPTOSPORIDIUM SP,TRUE,TRUE,TRUE
CYCLOSPORA SP,FALSE,FALSE,FALSE
