Root.organism.name,text
ESCHERICHIA,"Escherichia is a genus of Gram-negative, non-spore forming, facultatively anaerobic, rod-shaped bacteria from the family Enterobacteriaceae.[1] In those species which are inhabitants of the gastrointestinal tracts of warm-blooded animals, Escherichia species provide a portion of the microbially derived vitamin K for their host. A number of the species of Escherichia are pathogenic.[2] The genus is named after Theodor Escherich, the discoverer of Escherichia coli."
STAPHYLOCOCCUS,"Staphylococcus is a genus of Gram-positive bacteria. Under the microscope, they appear round (cocci), and form in grape-like clusters.[1]
The Staphylococcus genus includes at least 40 species. Of these, nine have two subspecies and one has three subspecies.[2] Most are harmless and reside normally on the skin and mucous membranes of humans and other organisms. Found worldwide, they are a small component of soil microbial flora.[3]"
CHLAMYDIA,"Chlamydia is a genus of bacteria that are obligate intracellular parasites. Chlamydia infections are the most common bacterial sexually transmitted diseases in humans and are the leading cause of infectious blindness worldwide.[1]
The three Chlamydia species include Chlamydia trachomatis (a human pathogen), Chlamydia suis (affects only swine) and Chlamydia muridarum (affects only mice and hamsters).[2] Additionally, three species that were previously classified as Chlamydia have since 1999 been reclassified into the then newly-created Chlamydophila genus: Chlamydophila psittaci, Chlamydophila pneumoniae and Chlamydophila pecorum."
KLEBSIELLA,"Klebsiella is a genus of non-motile, Gram-negative, oxidase-negative, rod-shaped bacteria with a prominent polysaccharide-based capsule.[1] It is named after the German microbiologist Edwin Klebs (1834_1913).
Klebsiella species are found everywhere in nature. This is thought to be due to distinct sublineages developing specific niche adaptations, with associated biochemical adaptations which make them better suited to a particular environment. They can be found in water, soil, plants, insects, animals and humans.[2][3]"
SHIGELLA,"Shigella is a genus of Gram-negative, facultative anaerobic, nonspore-forming, nonmotile, rod-shaped bacteria closely related to Salmonella. The genus is named after Kiyoshi Shiga, who first discovered it in 1897.[1]
The causative agent of human shigellosis, Shigella causes disease in primates, but not in other mammals.[2][page needed] It is only naturally found in humans and apes.[3][4] During infection, it typically causes dysentery.[5] Shigella is one of the leading bacterial causes of diarrhea worldwide. Insufficient data exist, but conservative estimates suggest Shigella causes about 90 million cases of severe dysentery, with at least 100,000 of these resulting in death each year, mostly among children in the developing world.[6]"
CAMPYLOBACTER,"Campylobacter (meaning ""curved bacteria"") is a genus of Gram-negative, microaerophilic, oxidase-positive, nonfermentative bacteria.[1] Campylobacter species are typically spiral-shaped and able to move via unipolar or bipolar flagella.[1] Most Campylobacter species are pathogenic and can infect humans and other animals. At least a dozen species of Campylobacter have been implicated in human disease, with C. jejuni and C. coli the most common.[2] C. jejuni is now recognized as one of the main causes of bacterial foodborne disease in many developed countries.[2][3] C. fetus is a cause of spontaneous abortions in cattle and sheep, as well as an opportunistic pathogen in humans.[4]"
PLESIOMONAS,"Plesiomonas shigelloides is a species of bacteria.[1] It is a Gram-negative, rod-shaped bacterium which has been isolated from freshwater, freshwater fish, and shellfish and from many types of animals including cattle, goats, swine, cats, dogs, monkeys, vultures, snakes, and toads.
Infections from this organism cause gastroenteritis, followed by septicemia in immune deficient patients. It is placed among the Enterobacteriaceae. Some Plesiomonas strains share antigens with Shigella sonnei, and cross-reactions with Shigella antisera occur. Plesiomonas can be distinguished from Shigella in diarrheal stools by an oxidase test: Plesiomonas is oxidase positive and Shigella is oxidase negative. Plesiomonas is negative for DNAse; this and other biochemical tests distinguish it from Aeromonas sp."
MORGANELLA,"Morganella morganii is a species of Gram-negative bacteria.[1] It has a commensal relationship within the intestinal tracts of humans, mammals, and reptiles as normal flora.[1] Although M. morganii has a wide distribution, it is considered an uncommon cause of community-acquired infection and it is most often encountered in postoperative and other nosocomial infections such as urinary tract infections.[3]"
GIARDIA,"Giardia is a genus of anaerobic flagellated protozoan parasites of the phylum Sarcomastigophora that colonise and reproduce in the small intestines of several vertebrates, causing giardiasis. Their life cycle alternates between an actively swimming trophozoite and an infective, resistant cyst. Giardia were first described by the Dutch microscopist Antonie van Leeuwenhoek in 1681.[1] The genus is named after French zoologist Alfred Mathieu Giard.[2]"
CITROBACTER,"Citrobacter is a genus of Gram-negative coliform bacteria in the Enterobacteriaceae family.
The species C. amalonaticus, C. koseri, and C. freundii can use citrate as a sole carbon source. Citrobacter species are differentiated by their ability to convert tryptophan to indole, ferment lactose, and use malonate.[1]
Citrobacter shows the ability to accumulate uranium by building phosphate complexes.[2]"
